"","0","1","p","test"
"n","   3191","  9233","",""
"Age (mean (SD))","  56.36 (6.53)"," 35.52 (8.80)","<0.001",""
"Gender = Female (%)","   1784 (55.9) ","  5248 (56.8) "," 0.371",""
"Hispanic = 1 (%)","    474 (14.9) ","  1860 (20.1) ","<0.001",""
"Non-Hispanic Black = 1 (%)","    344 (10.8) ","   948 (10.3) "," 0.433",""
"Non-Hispanic White = 1 (%)","   2192 (68.7) ","  6406 (69.4) "," 0.482",""
"Other race and ethnicities = 1 (%)","    456 (14.3) ","  1321 (14.3) "," 1.000",""
"Less than high school = 1 (%)","    803 (25.2) ","  2303 (24.9) "," 0.822",""
"High school or GED = 1 (%)","    817 (25.6) ","  2269 (24.6) "," 0.256",""
"# of people in household (mean (SD))","   1.13 (0.40)","  1.12 (0.40)"," 0.768",""
"Sum of total spending (mean (SD))","7162.71 (1872.91)","983.96 (1384.91)","<0.001",""
"Sum of ED spending (mean (SD))"," 538.53 (358.47)","418.44 (336.53)","<0.001",""
"Asthma = 1 (%)","    631 (19.8) ","  1752 (19.0) "," 0.336",""
"Diabetes = 1 (%)","    237 ( 7.4) ","   650 ( 7.0) "," 0.489",""
"Hypertension = 1 (%)","    565 (17.7) ","  1692 (18.3) "," 0.450",""
"Dyslipidemia = 1 (%)","    397 (12.4) ","  1128 (12.2) "," 0.763",""
"Heart Attack = 1 (%)","     51 ( 1.6) ","   196 ( 2.1) "," 0.079",""
"Heart failure = 1 (%)","     37 ( 1.2) ","   110 ( 1.2) "," 0.961",""
"Emphysema/COPD = 1 (%)","     87 ( 2.7) ","   200 ( 2.2) "," 0.080",""
"Kidney failure = 1 (%)","     56 ( 1.8) ","   163 ( 1.8) "," 1.000",""
"Cancer = 1 (%)","    133 ( 4.2) ","   409 ( 4.4) "," 0.566",""
"Depression = 1 (%)","   1099 (34.4) ","  3235 (35.0) "," 0.556",""
"benefit (mean (SD))","   0.00 (0.00)","  1.00 (0.00)","<0.001",""
