"","1","2","3","4","5","p","test"
"n","   2485","   2485","   2484","   2485","   2485","",""
"Age (mean (SD))","  41.16 (12.36)","  40.62 (12.34)","  41.13 (12.13)","  40.47 (12.34)","  40.98 (12.34)"," 0.179",""
"Gender = Female (%)","      9 (  0.4) ","     55 (  2.2) ","   1998 ( 80.4) ","   2485 (100.0) ","   2485 (100.0) ","<0.001",""
"Hispanic = 1 (%)","   1006 ( 40.5) ","     74 (  3.0) ","   1148 ( 46.2) ","     80 (  3.2) ","     26 (  1.0) ","<0.001",""
"Non-Hispanic Black = 1 (%)","    251 ( 10.1) ","    255 ( 10.3) ","    259 ( 10.4) ","    254 ( 10.2) ","    273 ( 11.0) "," 0.863",""
"Non-Hispanic White = 1 (%)","   1981 ( 79.7) ","   1537 ( 61.9) ","   1767 ( 71.1) ","   1938 ( 78.0) ","   1375 ( 55.3) ","<0.001",""
"Other race and ethnicities = 1 (%)","    329 ( 13.2) ","    343 ( 13.8) ","    326 ( 13.1) ","    358 ( 14.4) ","    421 ( 16.9) "," 0.001",""
"Less than high school = 1 (%)","    367 ( 14.8) ","    770 ( 31.0) ","    568 ( 22.9) ","    421 ( 16.9) ","    980 ( 39.4) ","<0.001",""
"High school or GED = 1 (%)","    773 ( 31.1) ","    535 ( 21.5) ","    699 ( 28.1) ","    594 ( 23.9) ","    485 ( 19.5) ","<0.001",""
"# of people in household (mean (SD))","   1.28 (0.57)","   1.04 (0.24)","   1.26 (0.55)","   1.03 (0.17)","   1.01 (0.09)","<0.001",""
"Sum of total spending (mean (SD))","2534.19 (3136.11)","2588.06 (3111.23)","2503.24 (3018.94)","2549.90 (3109.05)","2679.19 (3125.68)"," 0.314",""
"Sum of ED spending (mean (SD))"," 373.58 (317.03)"," 504.36 (355.45)"," 362.48 (313.57)"," 498.77 (351.67)"," 507.20 (358.85)","<0.001",""
"Asthma = 1 (%)","    600 ( 24.1) ","    385 ( 15.5) ","    535 ( 21.5) ","    389 ( 15.7) ","    474 ( 19.1) ","<0.001",""
"Diabetes = 1 (%)","    127 (  5.1) ","    199 (  8.0) ","    156 (  6.3) ","    123 (  4.9) ","    282 ( 11.3) ","<0.001",""
"Hypertension = 1 (%)","    242 (  9.7) ","    333 ( 13.4) ","    609 ( 24.5) ","    106 (  4.3) ","    967 ( 38.9) ","<0.001",""
"Dyslipidemia = 1 (%)","    188 (  7.6) ","    350 ( 14.1) ","    296 ( 11.9) ","    209 (  8.4) ","    482 ( 19.4) ","<0.001",""
"Heart Attack = 1 (%)","     26 (  1.0) ","     57 (  2.3) ","     56 (  2.3) ","      7 (  0.3) ","    101 (  4.1) ","<0.001",""
"Heart failure = 1 (%)","     36 (  1.4) ","     25 (  1.0) ","     37 (  1.5) ","     19 (  0.8) ","     30 (  1.2) "," 0.095",""
"Emphysema/COPD = 1 (%)","     25 (  1.0) ","     62 (  2.5) ","     67 (  2.7) ","     13 (  0.5) ","    120 (  4.8) ","<0.001",""
"Kidney failure = 1 (%)","     21 (  0.8) ","     45 (  1.8) ","     44 (  1.8) ","     18 (  0.7) ","     91 (  3.7) ","<0.001",""
"Cancer = 1 (%)","    166 (  6.7) ","     59 (  2.4) ","    160 (  6.4) ","    101 (  4.1) ","     56 (  2.3) ","<0.001",""
"Depression = 1 (%)","    491 ( 19.8) ","   1135 ( 45.7) ","    744 ( 30.0) ","    666 ( 26.8) ","   1298 ( 52.2) ","<0.001",""
"ranking (%)","   ","   ","   ","   ","   ","<0.001",""
"   1","   2485 (100.0) ","      0 (  0.0) ","      0 (  0.0) ","      0 (  0.0) ","      0 (  0.0) ","",""
"   2","      0 (  0.0) ","   2485 (100.0) ","      0 (  0.0) ","      0 (  0.0) ","      0 (  0.0) ","",""
"   3","      0 (  0.0) ","      0 (  0.0) ","   2484 (100.0) ","      0 (  0.0) ","      0 (  0.0) ","",""
"   4","      0 (  0.0) ","      0 (  0.0) ","      0 (  0.0) ","   2485 (100.0) ","      0 (  0.0) ","",""
"   5","      0 (  0.0) ","      0 (  0.0) ","      0 (  0.0) ","      0 (  0.0) ","   2485 (100.0) ","",""
